Solving 9×9 grid using CONSTRAINT PROGRAMMING
Method: OR-Tools CP-SAT (guaranteed optimal)

Testing config 183... → 16.0 tiles
Testing config 184... → 16.0 tiles
Testing config 185... → 16.0 tiles
Testing config 186... → 15.0 tiles
Testing config 187... → 16.0 tiles
Testing config 188... → 14.0 tiles
  ★ NEW BEST: 14.0 tiles
Testing config 189... → 15.0 tiles
Testing config 190... → 15.0 tiles
Testing config 191... → 15.0 tiles
Testing config 192... → 15.0 tiles
Testing config 193... → 16.0 tiles
Testing config 194... → 15.0 tiles
Testing config 195... → 15.0 tiles
Testing config 196... → 15.0 tiles
Testing config 197... → 15.0 tiles
Testing config 198... → 16.0 tiles
Testing config 199... → 16.0 tiles
Testing config 200... → 16.0 tiles
Testing config 201... → 15.0 tiles
Testing config 202... → 16.0 tiles
Testing config 203... → 16.0 tiles
Testing config 204... → 16.0 tiles
Testing config 205... → 15.0 tiles
Testing config 206... → 15.0 tiles
Testing config 207... → 16.0 tiles
Testing config 208... → 16.0 tiles
Testing config 209... → 16.0 tiles
Testing config 210... → 15.0 tiles
Testing config 211... → 16.0 tiles
Testing config 212... → 15.0 tiles
Testing config 213... → 15.0 tiles
Testing config 214... → 16.0 tiles
Testing config 215... → 16.0 tiles
Testing config 216... → 15.0 tiles
Testing config 217... → 16.0 tiles
Testing config 218... → 15.0 tiles
Testing config 219... → 15.0 tiles
Testing config 220... → 15.0 tiles
Testing config 221... → 15.0 tiles
Testing config 222... → 15.0 tiles
Testing config 223... → 15.0 tiles
Testing config 224... → 16.0 tiles
Testing config 225... → 16.0 tiles
Testing config 226... → 16.0 tiles
Testing config 227... → 16.0 tiles
Testing config 228... → 15.0 tiles
Testing config 229... → 16.0 tiles
Testing config 230... → 15.0 tiles
Testing config 231... → 16.0 tiles
Testing config 232... → 16.0 tiles
Testing config 233... → 16.0 tiles
Testing config 234... → 15.0 tiles
Testing config 235... → 16.0 tiles
Testing config 236... → 15.0 tiles
Testing config 237... → 15.0 tiles
Testing config 238... → 16.0 tiles
Testing config 239... → 16.0 tiles
Testing config 240... → 15.0 tiles
Testing config 241... → 16.0 tiles
Testing config 242... → 16.0 tiles
Testing config 243... → 16.0 tiles
Testing config 244... → 16.0 tiles
Testing config 245... → 16.0 tiles
Testing config 246... → 16.0 tiles
Testing config 247... → 16.0 tiles
Testing config 248... → 15.0 tiles
Testing config 249... → 15.0 tiles
Testing config 250... → 15.0 tiles
Testing config 251... → 15.0 tiles
Testing config 252... → 15.0 tiles
Testing config 253... → 15.0 tiles
Testing config 254... → 16.0 tiles
Testing config 255... → 16.0 tiles
Testing config 256... → 15.0 tiles
Testing config 257... → 15.0 tiles
Testing config 258... → 16.0 tiles
Testing config 259... → 15.0 tiles
Testing config 260... → 16.0 tiles
Testing config 261... → 16.0 tiles
Testing config 262... → 15.0 tiles
Testing config 263... → 15.0 tiles
Testing config 264... → 16.0 tiles
Testing config 265... → 15.0 tiles
Testing config 266... → 16.0 tiles
Testing config 267... → 16.0 tiles
Testing config 268... → 16.0 tiles
Testing config 269... → 16.0 tiles
Testing config 270... → 16.0 tiles
Testing config 271... → 16.0 tiles
Testing config 272... → 16.0 tiles
Testing config 273... → 16.0 tiles
Testing config 274... → 16.0 tiles
Testing config 275... → 16.0 tiles
Testing config 276... → 15.0 tiles
Testing config 277... → 16.0 tiles
Testing config 278... → 15.0 tiles
Testing config 279... → 16.0 tiles
Testing config 280... → 16.0 tiles
Testing config 281... → 16.0 tiles
Testing config 282... → 15.0 tiles
Testing config 283... → 16.0 tiles
Testing config 284... → 15.0 tiles
Testing config 285... → 15.0 tiles
Testing config 286... → 16.0 tiles
Testing config 287... → 16.0 tiles
Testing config 288... → 15.0 tiles
Testing config 289... → 16.0 tiles
Testing config 290... → 16.0 tiles
Testing config 291... → 16.0 tiles
Testing config 292... → 15.0 tiles
Testing config 293... → 15.0 tiles
Testing config 294... → 16.0 tiles
Testing config 295... → 15.0 tiles
Testing config 296... → 16.0 tiles
Testing config 297... → 16.0 tiles
Testing config 298... → 16.0 tiles
Testing config 299... → 16.0 tiles
Testing config 300... → 15.0 tiles
Testing config 301... → 16.0 tiles
Testing config 302... → 16.0 tiles
Testing config 303... → 15.0 tiles
Testing config 304... → 16.0 tiles
Testing config 305... → 16.0 tiles
Testing config 306... → 16.0 tiles
Testing config 307... → 16.0 tiles
Testing config 308... → 15.0 tiles
Testing config 309... → 16.0 tiles
Testing config 310... → 15.0 tiles
Testing config 311... → 15.0 tiles
Testing config 312... → 16.0 tiles
Testing config 313... → 16.0 tiles
Testing config 314... → 15.0 tiles
Testing config 315... → 16.0 tiles
Testing config 316... → 16.0 tiles
Testing config 317... → 16.0 tiles
Testing config 318... → 15.0 tiles
Testing config 319... → 15.0 tiles
Testing config 320... → 15.0 tiles
Testing config 321... → 16.0 tiles
Testing config 322... → 15.0 tiles
Testing config 323... → 15.0 tiles
Testing config 324... → 15.0 tiles
Testing config 325... → 16.0 tiles
Testing config 326... → 16.0 tiles
Testing config 327... → 15.0 tiles
Testing config 328... → 16.0 tiles
Testing config 329... → 16.0 tiles
Testing config 330... → 16.0 tiles
Testing config 331... → 16.0 tiles
Testing config 332... → 15.0 tiles
Testing config 333... → 16.0 tiles
Testing config 334... → 15.0 tiles
Testing config 335... → 15.0 tiles
Testing config 336... → 16.0 tiles
Testing config 337... → 16.0 tiles
Testing config 338... → 15.0 tiles
Testing config 339... → 15.0 tiles
Testing config 340... → 16.0 tiles
Testing config 341... → 16.0 tiles
Testing config 342... → 15.0 tiles
Testing config 343... → 16.0 tiles
Testing config 344... → 15.0 tiles
Testing config 345... → 15.0 tiles
Testing config 346... → 15.0 tiles
Testing config 347... → 15.0 tiles
Testing config 348... → 14.0 tiles
Testing config 349... → 15.0 tiles
Testing config 350... → 16.0 tiles
Testing config 351... → 15.0 tiles
Testing config 352... → 16.0 tiles
Testing config 353... → 16.0 tiles
Testing config 354... → 16.0 tiles
Testing config 355... → 16.0 tiles
Testing config 356... → 15.0 tiles
Testing config 357... → 16.0 tiles
Testing config 358... → 15.0 tiles
Testing config 359... → 15.0 tiles
Testing config 360... → 16.0 tiles
Testing config 361... → 16.0 tiles
Testing config 362... → 16.0 tiles
Testing config 363... → 16.0 tiles
Testing config 364... → 15.0 tiles
Testing config 365... → 15.0 tiles
Testing config 366... → 16.0 tiles
Testing config 367... → 15.0 tiles
Testing config 368... → 16.0 tiles
Testing config 369... → 16.0 tiles
Testing config 370... → 16.0 tiles
Testing config 371... → 16.0 tiles
Testing config 372... → 15.0 tiles
Testing config 373... → 16.0 tiles
Testing config 374... → 15.0 tiles
Testing config 375... → 14.0 tiles
Testing config 376... → 15.0 tiles
Testing config 377... → 15.0 tiles
Testing config 378... → 15.0 tiles
Testing config 379... → 15.0 tiles
Testing config 380... → 16.0 tiles
Testing config 381... → 15.0 tiles
Testing config 382... → 16.0 tiles
Testing config 383... → 16.0 tiles
Testing config 384... → 15.0 tiles
Testing config 385... → 15.0 tiles
Testing config 386... → 16.0 tiles
Testing config 387... → 16.0 tiles
Testing config 388... → 15.0 tiles
Testing config 389... → 15.0 tiles
Testing config 390... → 16.0 tiles
Testing config 391... → 15.0 tiles
Testing config 392... → 16.0 tiles
Testing config 393... → 16.0 tiles
Testing config 394... → 16.0 tiles
Testing config 395... → 16.0 tiles
Testing config 396... → 15.0 tiles
Testing config 397... → 16.0 tiles
Testing config 398... → 16.0 tiles
Testing config 399... → 15.0 tiles
Testing config 400... → 15.0 tiles
Testing config 401... → 15.0 tiles
Testing config 402... → 16.0 tiles
Testing config 403... → 15.0 tiles
Testing config 404... → 15.0 tiles
Testing config 405... → 15.0 tiles
Testing config 406... → 16.0 tiles
Testing config 407... → 16.0 tiles
Testing config 408... → 16.0 tiles
Testing config 409... → 15.0 tiles
Testing config 410... → 16.0 tiles
Testing config 411... → 16.0 tiles
Testing config 412... → 15.0 tiles
Testing config 413... → 15.0 tiles
Testing config 414... → 16.0 tiles
Testing config 415... → 15.0 tiles
Testing config 416... → 16.0 tiles
Testing config 417... → 16.0 tiles
Testing config 418... → 16.0 tiles
Testing config 419... → 16.0 tiles
Testing config 420... → 15.0 tiles
Testing config 421... → 16.0 tiles
Testing config 422... → 16.0 tiles
Testing config 423... → 15.0 tiles
Testing config 424... → 16.0 tiles
Testing config 425... → 16.0 tiles
Testing config 426... → 16.0 tiles
Testing config 427... → 16.0 tiles
Testing config 428... → 15.0 tiles
Testing config 429... → 16.0 tiles
Testing config 430... → 15.0 tiles
Testing config 431... → 15.0 tiles
Testing config 432... → 16.0 tiles
Testing config 433... → 16.0 tiles
Testing config 434... → 16.0 tiles
Testing config 435... → 15.0 tiles
Testing config 436... → 16.0 tiles
Testing config 437... → 16.0 tiles
Testing config 438... → 15.0 tiles
Testing config 439... → 15.0 tiles
Testing config 440... → 16.0 tiles
Testing config 441... → 15.0 tiles
Testing config 442... → 16.0 tiles
Testing config 443... → 16.0 tiles
Testing config 444... → 16.0 tiles
Testing config 445... → 15.0 tiles
Testing config 446... → 16.0 tiles
Testing config 447... → 15.0 tiles
Testing config 448... → 16.0 tiles
Testing config 449... → 16.0 tiles
Testing config 450... → 16.0 tiles
Testing config 451... → 16.0 tiles
Testing config 452... → 16.0 tiles
Testing config 453... → 16.0 tiles
Testing config 454... → 16.0 tiles
Testing config 455... → 16.0 tiles
Testing config 456... → 16.0 tiles
Testing config 457... → 16.0 tiles
Testing config 458... → 15.0 tiles
Testing config 459... → 16.0 tiles
Testing config 460... → 15.0 tiles
Testing config 461... → 15.0 tiles
Testing config 462... → 16.0 tiles
Testing config 463... → 16.0 tiles
Testing config 464... → 15.0 tiles
Testing config 465... → 16.0 tiles
Testing config 466... → 15.0 tiles
Testing config 467... → 15.0 tiles
Testing config 468... → 16.0 tiles
Testing config 469... → 16.0 tiles
Testing config 470... → 15.0 tiles
Testing config 471... → 15.0 tiles
Testing config 472... → 15.0 tiles
Testing config 473... → 15.0 tiles
Testing config 474... → 15.0 tiles
Testing config 475... → 15.0 tiles
Testing config 476... → 16.0 tiles
Testing config 477... → 16.0 tiles
Testing config 478... → 16.0 tiles
Testing config 479... → 16.0 tiles
Testing config 480... → 16.0 tiles
Testing config 481... → 16.0 tiles
Testing config 482... → 16.0 tiles
Testing config 483... → 15.0 tiles
Testing config 484... → 16.0 tiles
Testing config 485... → 16.0 tiles
Testing config 486... → 15.0 tiles
Testing config 487... → 15.0 tiles
Testing config 488... → 16.0 tiles
Testing config 489... → 15.0 tiles
Testing config 490... → 16.0 tiles
Testing config 491... → 16.0 tiles
Testing config 492... → 16.0 tiles
Testing config 493... → 15.0 tiles
Testing config 494... → 16.0 tiles
Testing config 495... → 15.0 tiles
Testing config 496... → 16.0 tiles
Testing config 497... → 16.0 tiles
Testing config 498... → 16.0 tiles
Testing config 499... → 16.0 tiles
Testing config 500... → 15.0 tiles
Testing config 501... → 15.0 tiles
Testing config 502... → 15.0 tiles
Testing config 503... → 15.0 tiles
Testing config 504... → 15.0 tiles
Testing config 505... → 15.0 tiles
Testing config 506... → 16.0 tiles
Testing config 507... → 15.0 tiles
Testing config 508... → 16.0 tiles
Testing config 509... → 16.0 tiles
Testing config 510... → 15.0 tiles
Testing config 511... → 15.0 tiles
Testing config 512... → 16.0 tiles
Testing config 513... → 15.0 tiles
Testing config 514... → 16.0 tiles
Testing config 515... → 16.0 tiles
Testing config 516... → 16.0 tiles
Testing config 517... → 15.0 tiles
Testing config 518... → 15.0 tiles
Testing config 519... → 16.0 tiles
Testing config 520... → 16.0 tiles
Testing config 521... → 16.0 tiles
Testing config 522... → 15.0 tiles
Testing config 523... → 16.0 tiles
Testing config 524... → 16.0 tiles
Testing config 525... → 16.0 tiles
Testing config 526... → 15.0 tiles
Testing config 527... → 15.0 tiles
Testing config 528... → 15.0 tiles
Testing config 529... → 15.0 tiles
Testing config 530... → 16.0 tiles
Testing config 531... → 15.0 tiles
Testing config 532... → 15.0 tiles
Testing config 533... → 15.0 tiles
Testing config 534... → 15.0 tiles
Testing config 535... → 14.0 tiles
Testing config 536... → 16.0 tiles
Testing config 537... → 15.0 tiles
Testing config 538... → 16.0 tiles
Testing config 539... → 16.0 tiles
Testing config 540... → 16.0 tiles
Testing config 541... → 15.0 tiles
Testing config 542... → 16.0 tiles
Testing config 543... → 15.0 tiles
Testing config 544... → 16.0 tiles
Testing config 545... → 16.0 tiles
Testing config 546... → 16.0 tiles
Testing config 547... → 16.0 tiles
Testing config 548... → 16.0 tiles
Testing config 549... → 16.0 tiles
Testing config 550... → 16.0 tiles
Testing config 551... → 16.0 tiles
Testing config 552... → 15.0 tiles
Testing config 553... → 15.0 tiles
Testing config 554... → 16.0 tiles
Testing config 555... → 15.0 tiles
Testing config 556... → 16.0 tiles
Testing config 557... → 16.0 tiles
Testing config 558... → 15.0 tiles
Testing config 559... → 15.0 tiles
Testing config 560... → 16.0 tiles
Testing config 561... → 15.0 tiles
Testing config 562... → 16.0 tiles
Testing config 563... → 16.0 tiles
Testing config 564... → 16.0 tiles
Testing config 565... → 15.0 tiles
Testing config 566... → 16.0 tiles
Testing config 567... → 15.0 tiles
Testing config 568... → 16.0 tiles
Testing config 569... → 16.0 tiles
Testing config 570... → 16.0 tiles
Testing config 571... → 16.0 tiles
Testing config 572... → 16.0 tiles
Testing config 573... → 16.0 tiles
Testing config 574... → 16.0 tiles
Testing config 575... → 16.0 tiles
Testing config 576... → 16.0 tiles
Testing config 577... → 16.0 tiles
Testing config 578... → 16.0 tiles
Testing config 579... → 16.0 tiles
Testing config 580... → 16.0 tiles
Testing config 581... → 16.0 tiles
Testing config 582... → 16.0 tiles
Testing config 583... → 16.0 tiles
Testing config 584... → 16.0 tiles
Testing config 585... → 16.0 tiles
Testing config 586... → 16.0 tiles
Testing config 587... → 16.0 tiles
Testing config 588... → 15.0 tiles
Testing config 589... → 16.0 tiles
Testing config 590... → 16.0 tiles
Testing config 591... → 15.0 tiles
Testing config 592... → 16.0 tiles
Testing config 593... → 16.0 tiles
Testing config 594... → 16.0 tiles
Testing config 595... → 16.0 tiles
Testing config 596... → 16.0 tiles
Testing config 597... → 16.0 tiles
Testing config 598... → 16.0 tiles
Testing config 599... → 16.0 tiles
Testing config 600... → 16.0 tiles
Testing config 601... → 16.0 tiles
Testing config 602... → 16.0 tiles
Testing config 603... → 16.0 tiles
Testing config 604... → 16.0 tiles
Testing config 605... → 16.0 tiles
Testing config 606... → 16.0 tiles
Testing config 607... → 16.0 tiles
Testing config 608... → 16.0 tiles
Testing config 609... → 16.0 tiles
Testing config 610... → 16.0 tiles
